Building Code,Building Name,Campus Code,Latitude,Longitude
270,796 SWANSTON ST (EYECARE CLINIC),PAR,-37.79760900,144.96471100
274,201 GRATTAN ST (MELBOURNE SOCIAL EQUITY INSTITUTE),PAR,-37.80044600,144.96205600
275,UNIVERSITY APARTMENTS,PAR,-37.80027508,144.95843517
278,100 LEICESTER ST (MGSE),PAR,-37.80367700,144.96076200
279,734-750 ELIZABETH ST (MMRA),PAR,-37.80136000,144.95559100
281,204 LYGON ST (LEVELS 4 & 5),PAR,-37.80224600,144.96717600
283,11-15 ARGYLE PLACE SOUTH (CO2CRC),PAR,-37.80374976,144.96581335
284,PRINCE ALFRED HOTEL,PAR,-37.80045792,144.96220901
290,700 SWANSTON ST (MELBOURNE CONNECT),PAR,,
291,CROSS LAMINATED TIMBER (CLT) BUILDING,PAR,,
292,URBANEST STUDENT ACCOMMODATION,PAR,,
298,SOUTHBANK - MELBOURNE THEATRE COMPANY - HQ,STH,-37.82896400,144.96501300
300,VCA ARTIST'S STUDIO AT PAINSDALE PLACE,PAR,-37.79616321,144.96533035
308,856-858 SWANSTON ST (CHILDCARE),PAR,-37.79628000,144.96515200
326,95-109 BARRY ST (FBE),PAR,-37.80149600,144.95940900
328,243 GRATTAN ST (ALAN GILBERT BUILDING LAND),PAR,-37.79992500,144.95940700
333,EASTERN PRECINCT UNDERGROUND CARPARK,PAR,-37.79742200,144.96534000
335,427-429 CARDIGAN ST (FAMILY CLUB CO-OP LTD),PAR,-37.79606200,144.96579000
337,131-137 BARRY ST (FBE),PAR,-37.80090400,144.95943400
344,PETER MCPHEE CENTRE,PAR,-37.79817500,144.96490000
348,723 SWANSTON ST (MELBOURNE DENTAL CLINIC LTD),PAR,-37.80088900,144.96345600
352,157 BARRY ST,PAR,-37.80034500,144.95954400
353,159 BARRY ST,PAR,-37.80025800,144.95949200
356,21 ROYAL PARADE,PAR,-37.79669100,144.95740200
357,23 ROYAL PARADE,PAR,-37.79660500,144.95741600
358,25 ROYAL PARADE,PAR,-37.79653100,144.95742800
359,27 ROYAL PARADE,PAR,-37.79643500,144.95744900
363,153 BARRY ST (AUSTRALIA-INDIA INSTITUTE),PAR,-37.80046100,144.95952500
368,205 GRATTAN ST (OFFICE OF ASSOCIATE PROVOST),PAR,-37.80037600,144.96188500
378,168 LEICESTER ST (MELBOURNE BUSINESS SCHOOL),PAR,-37.80132500,144.95885500
379,207-221 BOUVERIE ST (MSPGH & GEOGRAPHY),PAR,-37.80132000,144.96188400
381,"333 EXHIBITION ST (MSPGH, MSE, STUDIO 4, MC)",PAR,-37.80864400,144.96700300
384,UNIVERSITY BUSINESS SERVICES BUILDING,PAR,-37.80106200,144.96272700
385,UNIVERSITY HEALTH SERVICES BUILDING,PAR,-37.80170300,144.96550500
387,UNIVERSITY CAMPUS SERVICES BUILDING,PAR,-37.80215300,144.95353500
388,147-151 BARRY ST (AUSTRALIA-INDIA INSTITUTE),PAR,-37.80063200,144.95946200
390,141 BARRY ST (POCHE CENTRE),PAR,-37.80064629,144.95940829
394,139 BARRY ST (STATISTICAL CONSULTING CENTRE),PAR,-37.80074800,144.95944100
400,VETERINARY PRECLINICAL SCIENCES BUILDING,PAR,-37.79776600,144.95329700
401,NANCY MILLIS BUILDING,PAR,-37.79745400,144.95404900
402,GATE KEEPER'S HOUSE,PAR,-37.79746000,144.95335300
403,BUILDING 403,PAR,-37.79709400,144.95403100
404,BIO21 BUSINESS INCUBATOR BUILDING,PAR,-37.79756200,144.95425200
405,ELIZABETH BLACKBURN SCHOOL OF SCIENCES,PAR,-37.79696300,144.95226800
410,WERRIBEE GROUND LEASES OF CROWN LAND,WER,-37.88911300,144.69302000
411,WERRIBEE VETERINARY HOSPITAL,WER,-37.88970700,144.69258500
413,WERRIBEE SHARED ANIMAL HOUSE,WER,-37.89080500,144.69328600
414,WERRIBEE RURAL CREDIT ANIMAL HOUSE,WER,-37.89023900,144.69331800
415,WERRIBEE BIOHAZARD DEPOT,WER,-37.89005500,144.69303100
416,WERRIBEE PATHOLOGY BUILDING,WER,-37.88978300,144.69362800
416A,WERRIBEE PORTABLE TEA ROOM,WER,,
417,WERRIBEE PARASITOLOGY BUILDING,WER,-37.88955800,144.69372700
417A,WERRIBEE PORTABLE LABORATORY BUILDING,WER,-37.88942200,144.69299300
418,WERRIBEE LEARNING & TEACHING BUILDING,WER,-37.88922900,144.69350500
419,WERRIBEE KENDALL HALL OF RESIDENCE,WER,-37.88889400,144.69300700
420,WERRIBEE DOG COLONY,WER,-37.89097100,144.69268900
421,WERRIBEE CAMPUS SERVICES WORKSHOP/STORE,WER,-37.89018500,144.69379600
422,WERRIBEE FLAMMABLE LIQUID STORE,WER,,
423,WERRIBEE AVIAN ISOLATION UNIT,WER,-37.89023000,144.69359600
425,WERRIBEE CHICKEN HOUSE,WER,-37.88942200,144.69299300
426,WERRIBEE STUDENT RECREATION BUILDING,WER,-37.89093700,144.69432000
427,WERRIBEE IMPLEMENT SHED,WER,-37.89034600,144.69410000
428,WERRIBEE STORAGE SHED,WER,-37.88941800,144.69299300
429,WERRIBEE MACHINERY STORE A,WER,-37.88999400,144.69325500
430,WERRIBEE MACHINERY STORE B,WER,,
431,WERRIBEE WOOL CORPORATION SHED,WER,-37.89063700,144.69290600
433,WERRIBEE FEED STORAGE SHED,WER,,
434,WERRIBEE RESEARCH LABORATORY,WER,-37.89036700,144.69322200
436,WERRIBEE ANIMAL CARE CO-ORDINATOR'S OFFICE,WER,-37.88943400,144.69294100
437,WERRIBEE VETERINARY CLINICAL SKILLS LABORATORY,WER,-37.89095900,144.69296000
439,WERRIBEE DEMOUNTABLE LAUNDRY,WER,-37.88962700,144.69312000
442,WERRIBEE CATTLE TRAINING FACILITY,WER,-37.89023900,144.69192700
450,WERRIBEE TENANT BUILDING 450,WER,-37.89026500,144.69397600
451,WERRIBEE TENANT BUILDING 451,WER,-37.89034900,144.69406000
452,WERRIBEE TENANT BUILDING 452,WER,-37.89016100,144.69407300
453,WERRIBEE TENANT BUILDING 453,WER,-37.89028600,144.69416400
478,CUMNOCK HOUSE,PAR,,
498,ERNIE CROPLEY SPORTS PAVILION,PAR,-37.79363300,144.96151400
5001,DOOKIE SHORT-STAY RESIDENCE 1 (managed by FVAS),DOO,-36.38315300,145.70312800
5002,DOOKIE RENTAL RESIDENCE 10,DOO,-36.38353000,145.70323500
5003,DOOKIE SHORT-STAY RESIDENCE 14 (managed by FVAS),DOO,-36.38335400,145.70328100
5004,DOOKIE RENTAL RESIDENCE 18,DOO,-36.38274100,145.70356700
5005,DOOKIE RENTAL RESIDENCE 21,DOO,-36.38215800,145.70366900
5006,DOOKIE SHORT-STAY RESIDENCE 22 (managed by FVAS),DOO,-36.38215800,145.70366900
5007,DOOKIE RENTAL RESIDENCE 27,DOO,-36.38335400,145.70328100
5008,DOOKIE RENTAL RESIDENCE 28,DOO,-36.38215800,145.70366900
5009,DOOKIE RENTAL PROPERTY 49(MANSFIELD AUTISM SCHOOL),DOO,-36.38482000,145.70428800
501,WERRIBEE STATE RESEARCH FARM,WER,-37.89835900,144.68770200
5010,DOOKIE SHORT-STAY RESIDENCE 50 (managed by FVAS),DOO,-36.38482000,145.70428800
5011,DOOKIE RENTAL RESIDENCE 52,DOO,,
5012,DOOKIE CAMPUS VISITOR CAR PARK (OUTDOOR),DOO,,
5013,DOOKIE CAMPUS STUDENT CAR PARK (OUTDOOR),DOO,,
5014,DOOKIE CAMPUS MAIN CAR PARK (OUTDOOR),DOO,,
5019,DOOKIE RENTAL RESIDENCE 61,DOO,-36.38629200,145.70525700
502,WERRIBEE MUSHEEP FIELD LABORATORY,WER,,
5020,DOOKIE RENTAL RESIDENCE 62,DOO,-36.38570600,145.70482000
5029,DOOKIE SHED 1,DOO,,
503,MAINTENANCE GARAGE,PAR,-37.79364070,144.96225419
5030,DOOKIE SHED 2,DOO,,
5031,DOOKIE SHED 3,DOO,,
5032,DOOKIE GARDENERS' SHED 1,DOO,,
5033,DOOKIE GARDENERS' SHED 2,DOO,,
5034,DOOKIE YARD 1,DOO,,
5035,DOOKIE YARD 2,DOO,,
5036,DOOKIE YARD 3,DOO,,
5037,DOOKIE YARD 4,DOO,,
5038,DOOKIE YARD 5,DOO,,
504,DOOKIE CAMPUS LAND OCCUPANCY BY CROWN INVITATION,DOO,,
5040,DOOKIE STORAGE SHED 1,DOO,,
5041,DOOKIE - CURRAWA RURAL FIRE BRIGADE DEPOT,DOO,,
5045,DOOKIE TEACHING DAIRY,DOO,,
5046,DOOKIE OFFICE/STORE,DOO,,
5047,DOOKIE CLASSROOM,DOO,,
505,DOOKIE ACADEMIC CENTRE (MAIN BUILDING),DOO,-36.38316100,145.70593700
5050,DOOKIE OFFICE,DOO,,
5051,DOOKIE EQUIPMENT STORE,DOO,,
5055,DOOKIE SINGLE QUARTERS (managed by FVAS),DOO,,
506,DOOKIE - PATRICK RYAN HALL,DOO,-36.38316100,145.70561900
507,DOOKIE - SWINBURNE HALL,DOO,-36.38276600,145.70608400
508,DOOKIE RESIDENTIAL SUPPORT BUILDING,DOO,,
509,DOOKIE FORMER BOILER-ROOM,DOO,-36.38381100,145.70524000
510,DOOKIE SCIENCE LABORATORY,DOO,-36.38268400,145.70523800
511,DOOKIE DORMITORY A (NORTH WING),DOO,-36.38303900,145.70496000
512,DOOKIE DORMITORY B (EAST WING),DOO,-36.38303900,145.70496000
513,DOOKIE DORMITORY C (WEST WING),DOO,-36.38303900,145.70496000
514,DOOKIE DORMITORY D,DOO,-36.38369400,145.70481400
515,DOOKIE DORMITORY E,DOO,-36.38369400,145.70481400
516,DOOKIE DORMITORY F,DOO,-36.38369400,145.70481400
517,DOOKIE HERITAGE GYMNASIUM,DOO,-36.38369400,145.70481400
519,DOOKIE HERITAGE 1911 BUILDING (MUSEUM & TEACHING),DOO,-36.38353000,145.70585100
520,DOOKIE FORMER DORMITORY J,DOO,,
521,DOOKIE RENTAL RESIDENCE 12,DOO,,
522,DOOKIE RENTAL PROPERTY (MANSFIELD AUTISM SCHOOL),DOO,,
523,DOOKIE SQUASH COURT,DOO,-36.38486300,145.70478200
524,DOOKIE OUTDOOR SWIMMING POOL,DOO,-36.38473700,145.70492800
525,DOOKIE OUTDOOR TENNIS & BASKETBALL COURTS,DOO,-36.38473700,145.70492800
526,DOOKIE SWIMMING POOL CHANGE ROOMS,DOO,-36.38486300,145.70478200
527,DOOKIE - HUGH PYE BUILDING,DOO,-36.38438600,145.70570600
528,DOOKIE LECTURE THEATRE D,DOO,-36.38381100,145.70524000
529,DOOKIE LECTURE THEATRE E,DOO,-36.38381100,145.70524000
530,DOOKIE LECTURE THEATRE A,DOO,-36.38381000,145.70524000
531,DOOKIE RENTAL RESIDENCE 16,DOO,,
534,DOOKIE HORSE CLUB,DOO,-36.38160200,145.70411200
535,DOOKIE WINERY BUILDING,DOO,-36.38160200,145.70411100
536,DOOKIE CAMPUS PETROL STATION,DOO,-36.38177500,145.70612700
537,DOOKIE OUTDOOR PIGGERY FACILITY,DOO,-36.38087900,145.70635200
539,DOOKIE STORAGE SHED 2,DOO,-36.37845900,145.70609300
540,DOOKIE - GILBERT CHANDLER DINING HALL,DOO,-36.38286800,145.70674000
541,DOOKIE - GAVIN GIBSON LEARNING CENTRE,DOO,-36.38364100,145.70652200
542,DOOKIE CONFERENCE CENTRE,DOO,-36.38381100,145.70524000
542A,DOOKIE TOILET BLOCK,DOO,-36.38387200,145.70523200
543,DOOKIE CAMPUS SERVICES GARDEN SHEDS,DOO,-36.38381100,145.70524000
544,DOOKIE CAMPUS SERVICES BULK STORE SHEDS,DOO,-36.38356600,145.70733400
544A,DOOKIE CAMPUS SERVICES STORAGE SHED 3,DOO,-36.38356600,145.70733400
544B,DOOKIE CLEANERS' SHED,DOO,-36.38356600,145.70733400
545,DOOKIE OLD AGRICULTURAL ENGINEERING (SEEDBANK),DOO,-36.38327900,145.70708300
546,DOOKIE NEW AGRICULTURAL ENGINEERING BUILDING,DOO,-36.38327900,145.70708300
547,DOOKIE CAMPUS SERVICES VEHICULAR GARAGE,DOO,-36.38281900,145.70789800
548,DOOKIE CAMPUS SERVICES WORKSHOP,DOO,-36.38281900,145.70789800
549,DOOKIE CAMPUS SERVICES MAIN OFFICE,DOO,-36.38354200,145.70674700
550,DOOKIE HERITAGE WOOL CLASSING SHED,DOO,-36.38236200,145.70729500
551,DOOKIE ANIMAL HOUSE,DOO,-36.38552100,145.70703300
552,DOOKIE STOCK ROTUNDA,DOO,-36.38526500,145.70602000
553,DOOKIE SHEARING SHED,DOO,-36.38526500,145.70602000
554,DOOKIE HAY SHEDS,DOO,-36.38684700,145.70698200
555,DOOKIE LANDCARE CENTRE,DOO,-36.38684700,145.70698200
556,DOOKIE SPORTS PAVILLION,DOO,-36.38486300,145.71136000
557,DOOKIE - PUDNEY HOUSE (managed by FVAS),DOO,-36.38771700,145.70433000
558,DOOKIE - THOMPSON HOUSE (managed by FVAS),DOO,-36.38772000,145.70433000
559,DOOKIE MOTEL BUILDING (managed by FVAS),DOO,-36.38530000,145.70467200
5591,DOOKIE MOTEL BUILDING UNITS 1-4 (managed by FVAS),DOO,,
560,DOOKIE GRAIN STORE SHEDS,DOO,-36.38236200,145.70729500
561,DOOKIE BIODIGESTOR & ALGAL PONDS PLANT ROOM,DOO,-36.38056200,145.70636400
562,DOOKIE WATER PLANT TANKS,DOO,,
563,DOOKIE BROADACRE MACHINERY SHED,DOO,-36.38594800,145.70659600
564,DOOKIE NEW DAIRY,DOO,,
565,DOOKIE ROBOTIC DAIRY,DOO,,
566,DOOKIE DAIRY COORDINATOR'S RESIDENCE,DOO,,
567,DOOKIE DAIRY CLASSROOMS,DOO,,
568,DOOKIE DAIRY HAYSHED,DOO,,
569,DOOKIE NEW MACHINERY SHED,DOO,,
570,DOOKIE DAIRY MACHINE SHED,DOO,,
571,DOOKIE ORCHARD,DOO,,
572,DOOKIE ORCHARD SHEDS,DOO,,
573,DOOKIE ORCHARD GARAGE,DOO,,
581,DOOKIE GLASSHOUSE 1,DOO,,
582,DOOKIE GLASSHOUSE 2,DOO,,
583,DOOKIE GLASSHOUSE 3,DOO,,
584,DOOKIE GLASSHOUSE 4,DOO,,
585,DOOKIE POLY TUNNEL 1,DOO,,
586,DOOKIE POLY TUNNEL 2,DOO,,
587,DOOKIE OLD MACHINERY SHED,DOO,,
588,DOOKIE OLD TRUCK SHED,DOO,,
589,DOOKIE STORAGE SHED 3,DOO,,
590,DOOKIE FARM STORAGE SHED 1,DOO,,
591,DOOKIE FARM STORAGE SHED 2,DOO,,
684,"BUILDING I, GRAHAM ST, SHEPPARTON",SPT,,
686,"BUILDING A, 42 KILPATRICK AVENUE, SHEPPARTON",SPT,-36.36580500,145.40313700
688,"BUILDING B, 42 KILPATRICK AVENUE, SHEPPARTON",SPT,,
694,"19-21 NIXON ST, SHEPPARTON",SPT,-36.37661500,145.39688200
695,"GOULBURN VALLEY HEALTH, SHEPPARTON",SPT,-36.36288200,145.40302770
696,"49 GRAHAM ST, SHEPPARTON",SPT,-36.36201100,145.40656500
6961,"UNIT 1, 49 GRAHAM ST, SHEPPARTON",SPT,-36.36165100,145.40628400
6962,"UNIT 2, 49 GRAHAM ST, SHEPPARTON",SPT,-36.36145000,145.40625400
6963,"UNIT 3, 49 GRAHAM ST, SHEPPARTON",SPT,-36.36126400,145.40628800
6964,"UNIT 4, 49 GRAHAM ST, SHEPPARTON",SPT,-36.36136700,145.40584200
6965,"UNIT 5, 49 GRAHAM ST, SHEPPARTON",SPT,-36.36156900,145.40582300
6966,"UNIT 6, 49 GRAHAM ST, SHEPPARTON",SPT,-36.36182200,145.40586400
700,CRESWICK CAMPUS FREEHOLD TITLE TO LAND,CRE,-37.42516428,143.89705070
701,GOULBURN VALLEY EQUINE HOSPITAL,SPT,,
710,CRESWICK - TREMEARNE HOUSE,CRE,-37.42366246,143.89836910
711,CRESWICK STORAGE SHED - SFC,CRE,,
712,CRESWICK WOOD TECHNOLOGY LABORATORY,CRE,-37.42344628,143.89853370
713,CRESWICK SEMINAR CENTRE (SHARED TEACHING SPACE),CRE,-37.42345857,143.89893070
714,CRESWICK OFFICE BUILDING,CRE,-37.42334318,143.89972620
715,CRESWICK TEACHING LABORATORY,CRE,-37.42296601,143.89981250
716,CRESWICK RESEARCH LABORATORIES,CRE,-37.42343499,143.90014920
717,CRESWICK GLASSHOUSE BIO-TECHNOLOGY,CRE,-37.42340016,143.90043230
718,CRESWICK COMPUTER LABORATORY,CRE,-37.42247571,143.89903120
719,CRESWICK LIBRARY BUILDING,CRE,-37.42227373,143.89893510
720,CRESWICK DINING ROOM/KITCHEN (managed by BS),CRE,-37.42215860,143.89911760
721,CRESWICK - AV GAILBRAITH HOUSE (managed by BS),CRE,-37.42219784,143.89937770
722,CRESWICK RESIDENTIAL KITCHENS (managed by BS),CRE,-37.42242518,143.89953840
723,CRESWICK BUILDING 723,CRE,-37.42249917,143.89940180
724,CRESWICK LAUNDRY SHED (managed by BS),CRE,-37.42184502,143.89915610
725,CRESWICK GARDENER SHED (managed by BS),CRE,-37.42173564,143.89914850
726,CRESWICK RECREATION CENTRE (managed by BS),CRE,-37.42181656,143.89945010
729,CRESWICK GARAGES (managed by BS),CRE,-37.42169431,143.89942080
730,CRESWICK CAMPUS SERVICES WORKSHOP (managed by BS),CRE,-37.42154589,143.89958480
731,CRESWICK SEMMENS HALL (managed by BS),CRE,-37.42161777,143.89995690
732,CRESWICK ACCOMMODATION LODGE (managed by BS),CRE,-37.42127993,143.89977970
733,CRESWICK HEAD HOUSE,CRE,-37.42111911,143.89940750
734,CRESWICK GLASSHOUSE (LARGE),CRE,-37.42101598,143.89949770
735,CRESWICK GLASSHOUSE (SMALL),CRE,-37.42101044,143.89931060
736,CRESWICK CANNON SHED,CRE,-37.42100637,143.89918280
737,CRESWICK PYROLYSIS SHED,CRE,-37.42110269,143.89894070
738,CRESWICK RESIDENCE (managed by BS),CRE,-37.42131761,143.89889580
739,CRESWICK COTTAGE (managed by BS),CRE,-37.42212424,143.89999700
740,CRESWICK STORAGE ROOMS,CRE,-37.42225928,143.90024130
741,CRESWICK - BILLO'S LODGE,CRE,-37.42133669,143.90200820
744,CRESWICK ACADEMIC CENTRE,CRE,-37.42273446,143.90023710
745,CRESWICK POTTING SHED,CRE,,
746,CRESWICK STORAGE SHED - LAB SUPPORT 1,CRE,-37.42231485,143.89990880
747,CRESWICK STORAGE CAGE - LAB SUPPORT,CRE,,
748,CRESWICK WORKSHOP,CRE,-37.42253902,143.89980650
749,CRESWICK SAW MILL SHED,CRE,,
750,CRESWICK FIELD EQUIPMENT STORE,CRE,-37.42125879,143.90108890
752,CRESWICK STORAGE SHED,CRE,,
754,CRESWICK COMMUNITY GYMNASIUM (managed by BS),CRE,-37.42300033,143.90134160
755,CRESWICK STORAGE SHED - LAB SUPPORT 2,CRE,-37.42356900,143.90049400
756,CRESWICK CAMPUS MAIN CAR PARK,CRE,,
860,SOUTHBANK ELISABETH MURDOCH BUILDING,STH,-37.82479900,144.97020800
861,SOUTHBANK FILM & TELEVISION BUILDING,STH,-37.82492600,144.96960500
862,SOUTHBANK MUSIC BUILDING,STH,-37.82439000,144.96986000
863,SOUTHBANK THE HUB,STH,-37.82439200,144.96925900
864,"SOUTHBANK PERFORMING ARTS, ST KILDA RD",STH,-37.82404700,144.96955400
865,SOUTHBANK OLD POLICE HOSPITAL,STH,-37.82374600,144.96964300
866,SOUTHBANK BUILDING 866,STH,-37.82021400,144.96277100
867,SOUTHBANK BUILDING 867,STH,-37.82021400,144.96277100
